iter,container_id,memory_MB,CPU
20,42ea65bf4fd7ed1b164cce61e4e50e43ee9923dbf2993c800eee4a9a3a7f5ce6,9.699,1.4862186517317217
21,6ffbebc373c5122034eb2d104b4d562f831ee0838af3a4949609be56f84d7560,9.662,1.3994140692449042
22,cf2164f5a9b446d2de7256ee3e29e6fd1c2052336a13fad1af41ea8435415340,9.622,1.4467309586179664
23,83ca15f48c9ef3a0fdac97c95279f52e935d992acc9d08691d8b274a3474a924,9.699,1.357863062497956
24,5715a14dce53ca90b8a742f5166a8ca9cc305095039cbd9f1ad47da89639b3c5,9.622,1.2757313390758982
25,7c1e66c08ade044a80e3bc1d882735c89844a3d1f2c4cd1254e80a38cb035fd5,9.691,1.7290334023166765
26,9511ee0d462ae15e1109a292e7665484137c5e59537821d4510b8136af4b5dbe,9.675,1.3513029076671597
27,49aac1cf44722e543a7d43403f2d128f6822512bd7bbc8c0bd7edf0954022cf6,9.638,1.5033474405776162
28,56ce17942daeeb0848186da53be9a47cf74df64de033c03793e71c28b36b7729,9.527,1.3917395216947206
29,dd860d77548889355940dbd9ab1740d1cafebb0492ea46fc0f663c70623fd43e,9.683,1.3204886722260252
30,6aed84199dc46a9801e9ac222d091faefd740d95ac446aa76c6ad6572088bb03,9.691,1.4158259228428383
31,4ec306f1701d81c9f46b40bc3229457aeb4a33c40d38a3c56c30c0c5bd43650e,9.703,1.3142993721276253
32,04bbe9372fb07706899ed6f409a43e625d3953bb14ebd7006b3020ee1d24ca48,9.679,1.4716808880363685
33,0d99d4335c88c099778c7271c767782e5373e8803b648fce8f840a6eafa2f093,9.581,1.6363519003063955
34,e1066aa96b05e0c4703fae8fb8cc7c155660caa4e74c90d7e613a1fad3d95213,9.695,1.2924396994462812
35,0f0a743ed0cc3b21b5d2f1501a06fd4367841e085fdb32c1b577a4dcefb64faf,9.622,1.4863663829405107
36,3328c32e88aa4c5632e626250e5de77713763e82895d15527de2a34695880755,9.662,1.4345211276606842
37,fc1b618ef039ee51264bea16bde3aa416b437274d1d538552889e3c465e2db97,9.605,1.3490736542286053
38,e7bac7f60b4e578f4ff18b83eeff09a0d9dfbd847d830c1da99fa7d00c475c1e,9.646,1.380418742913491
39,d8f644fdc8a2acdfd2c26ca59a236b7778ff1a260729e31ae8e1d17872e591fb,9.568,1.473196525761717
40,9c71eba8a036a14f4875e17c0310d00c2778d4ee22da580d4b3d4439a5c7c180,9.585,1.3412502227084384
41,bce11ea899a50baaaa02360084be2f2de321587ab72b49790f781a1b6b03b85f,9.679,1.2944251879428343
42,26dd4c5823269ccdd46e97799d148d9ef8fd326b45fe4f80d0e13342ab60e9cc,9.671,1.3224757998438958
43,f85288b749377688d009688d51a9683e6bfaee1fcbeedbc2afd825f913874531,9.585,1.3241578787814794
44,f3eeaaab4519bf61d2d99e04d06d4a9a8753a8cd8fc4f5e143ff72ad3795c412,9.675,1.5620773900382816
45,76dbf4f51f60f32365d6d5069b68392acae4940736d6f9fdcc43356f507552d1,9.687,1.4874635285730868
46,f8c0ef075cc9a31dcebe0566fc001bdbc8c81d1e94ae78775ceec5e5e6a6eb77,9.589,1.3791984367743906
47,6b75a8c316ceb6289e855b502eab5fd40f275b9dcb478ecf9abbe55b68ad273a,9.708,1.329659655801937
48,7e7731c07d99ccf90846644544415767b83fbe340dc63e688e427f62975d3bac,9.699,1.4397882758436211
49,0427ebf1810b5b2f5da62f8132411dc2932391e1e679d54b7f309a1305c62e67,9.671,1.3684369010537776
50,a610074372fe7a2efa138f1bd726e5ddd6ea5200b62ef3e3f15fa6d902f63009,9.617,1.3996978251809975
